feature,粉丝,评委
age_industry_simplified_Athlete,8.392283194202555,4.688895756603618
age_industry_simplified_Model,6.8760564246240525,0.0
age_industry_simplified_Other,7.039229674324639,6.474603348380384
celebrity_age_during_season,0.0,5.621124356440915
experience_industry_simplified_Athlete,5.297964591388655,0.0
experience_industry_simplified_Comedian,4.865810926729944,4.662956368050121
experience_industry_simplified_Model,0.0,14.711952548480548
experience_industry_simplified_Other,6.967924946721259,4.932199444479773
experience_industry_simplified_Singer,6.042349570182522,0.0
industry_simplified_Athlete,0.0,4.7550788568609255
industry_simplified_Comedian,8.173055799023862,0.0
industry_simplified_Model,10.150290452593138,5.211775806682944
industry_simplified_Other,0.0,6.338237057485475
industry_simplified_Politician,0.0,7.915041316544018
industry_simplified_Singer,7.8938938337255475,0.0
