season,method,avg_fan_weight,avg_correlation
1,percentage,0.6,0.884486758739709
1,rank,0.5,0.33999999999999997
2,percentage,0.6,0.8536540414615124
2,rank,0.5,-0.16631493506493505
3,percentage,0.6,0.44052067048834753
3,rank,0.5,0.22936507936507938
4,percentage,0.6,0.7119283665307475
4,rank,0.5,-0.11883116883116884
5,percentage,0.6,0.6585440595369578
5,rank,0.5,-0.07000166500166503
6,percentage,0.6,0.5666530860278713
6,rank,0.5,-0.18660672660672661
7,percentage,0.6,0.6023464923839816
7,rank,0.5,-0.3337945387945388
8,percentage,0.6,0.7464023865835987
8,rank,0.5,0.0878182423636969
9,percentage,0.6,0.7685530336990096
9,rank,0.5,0.16840522222875162
10,percentage,0.6,0.5818163340426494
10,rank,0.5,-0.15147186147186145
11,percentage,0.6,0.705663642624321
11,rank,0.5,0.3142557442557442
12,percentage,0.6,0.6553665038687906
12,rank,0.5,-0.01642857142857142
13,percentage,0.6,0.6689977140174257
13,rank,0.5,0.1674908424908425
14,percentage,0.6,0.5292886625287995
14,rank,0.5,-0.0342024642024642
15,percentage,0.6,0.5562462876297865
15,rank,0.5,-0.3665651015651016
16,percentage,0.6,0.7008283198822823
16,rank,0.5,0.024497169497169513
17,percentage,0.6,0.7507181448284506
17,rank,0.5,-0.015846274937184015
18,percentage,0.6,0.6068870752014519
18,rank,0.5,-0.20905427905427904
19,percentage,0.6,0.8065280322137833
19,rank,0.5,-0.11138861138861139
20,percentage,0.6,0.841348107050506
20,rank,0.5,0.3839660339660339
